casilla_id,municipio,df,dl,casilla,ubicación,capturista_id,id
77,1,3,16,31 C1,"DOMICILIO PARTICULAR, CALLE PUENTE CUIJE, NÚMERO 911, COLONIA PIEDRAS NEGRAS, CÓDIGO POSTAL 22830, ENSENADA, BAJA CALIFORNIA, ENTRE CALLE RÍO BRAVO Y AVENIDA ALAMEDA.",1,77
78,1,3,16,32 B,"DOMICILIO PARTICULAR, AVENIDA DE LAS AMÉRICAS, NÚMERO 487, FRACCIONAMIENTO LAS LOMITAS, CÓDIGO POSTAL 22810, ENSENADA, BAJA CALIFORNIA, ENTRE AVENIDA ETIOPIA Y AVENIDA POLONIA",1,78
79,1,3,16,32 C1,"DOMICILIO PARTICULAR, AVENIDA DE LAS AMÉRICAS, NÚMERO 487, FRACCIONAMIENTO LAS LOMITAS, CÓDIGO POSTAL 22810, ENSENADA, BAJA CALIFORNIA, ENTRE AVENIDA ETIOPIA Y AVENIDA POLONIA",1,79
80,1,3,16,32 C2,"DOMICILIO PARTICULAR, AVENIDA DE LAS AMÉRICAS, NÚMERO 487, FRACCIONAMIENTO LAS LOMITAS, CÓDIGO POSTAL 22810, ENSENADA, BAJA CALIFORNIA, ENTRE AVENIDA ETIOPIA Y AVENIDA POLONIA",1,80
81,1,3,16,33 B,"DOMICILIO PARTICULAR, AVENIDA ESPAÑA, NÚMERO 518, FRACCIONAMIENTO LAS LOMITAS, CÓDIGO POSTAL 22810, ENSENADA, BAJA CALIFORNIA, ENTRE CALLES ECUADOR Y EGIPTO.",1,81
82,1,3,16,33 C1,"DOMICILIO PARTICULAR, AVENIDA ESPAÑA, NÚMERO 518, FRACCIONAMIENTO LAS LOMITAS, CÓDIGO POSTAL 22810, ENSENADA, BAJA CALIFORNIA, ENTRE CALLES ECUADOR Y EGIPTO.",1,82
83,1,3,16,33 C2,"DOMICILIO PARTICULAR, AVENIDA ESPAÑA, NÚMERO 518, FRACCIONAMIENTO LAS LOMITAS, CÓDIGO POSTAL 22810, ENSENADA, BAJA CALIFORNIA, ENTRE CALLES ECUADOR Y EGIPTO.",1,83
84,1,3,16,34 B,"CENTRO COMERCIAL, BOULEVARD DAVID H SOKOLOW, SIN NÚMERO, FRACCIONAMIENTO LAS LOMITAS, CÓDIGO POSTAL 22810, ENSENADA, BAJA CALIFORNIA, FRENTE A ESCUELA TÉCNICA NÚMERO 28",1,84
85,1,3,16,34 C1,"CENTRO COMERCIAL, BOULEVARD DAVID H SOKOLOW, SIN NÚMERO, FRACCIONAMIENTO LAS LOMITAS, CÓDIGO POSTAL 22810, ENSENADA, BAJA CALIFORNIA, FRENTE A ESCUELA TÉCNICA NÚMERO 28",1,85
86,1,3,16,34 C2,"CENTRO COMERCIAL, BOULEVARD DAVID H SOKOLOW, SIN NÚMERO, FRACCIONAMIENTO LAS LOMITAS, CÓDIGO POSTAL 22810, ENSENADA, BAJA CALIFORNIA, FRENTE A ESCUELA TÉCNICA NÚMERO 28",1,86
87,1,3,16,35 B,"ESCUELA PRIMARIA BELISARIO DOMÍNGUEZ., CALLEJÓN CRISANTEMO Y O CALLE BELISARIO DOMÍNGUEZ, SIN NÚMERO, COLONIA LAS MARGARITAS, CÓDIGO POSTAL 22810, ENSENADA, BAJA CALIFORNIA, ENTRE CALLES GARDENIA Y MARGARITA.",1,87
88,1,3,16,35 C1,"ESCUELA PRIMARIA BELISARIO DOMÍNGUEZ., CALLEJÓN CRISANTEMO Y O CALLE BELISARIO DOMÍNGUEZ, SIN NÚMERO, COLONIA LAS MARGARITAS, CÓDIGO POSTAL 22810, ENSENADA, BAJA CALIFORNIA, ENTRE CALLES GARDENIA Y MARGARITA.",1,88
89,1,3,16,35 C2,"ESCUELA PRIMARIA BELISARIO DOMÍNGUEZ., CALLEJÓN CRISANTEMO Y O CALLE BELISARIO DOMÍNGUEZ, SIN NÚMERO, COLONIA LAS MARGARITAS, CÓDIGO POSTAL 22810, ENSENADA, BAJA CALIFORNIA, ENTRE CALLES GARDENIA Y MARGARITA.",1,89
